sa2_main11,sa2_name11,year,Average Super,Average Investment Income,Average other income,Total income earners,Total income,Average total income,Average Wage and salary income
212031303,Cranbourne South,2009,19439,6945,2687,3132,131,41837,41381
212031304,Cranbourne West,2009,17886,4199,2764,4031,165,40899,41475
212031305,Hampton Park - Lynbrook,2009,19010,733,2262,12161,451,37084,38479
212031306,Lynbrook - Lyndhurst,2009,16204,1245,2623,4662,207,44321,46326
212031307,Narre Warren South,2009,16907,2578,2625,15153,635,41898,43358
212031308,Pearcedale - Tooradin,2009,20149,5977,3302,4162,171,41060,42143
212041309,Clarinda - Oakleigh South,2009,17973,3529,2334,6340,247,38928,40968
212041310,Clayton South,2009,16785,2788,1881,6082,223,36731,38660
212041311,Dandenong,2009,16678,4619,2394,12157,428,35186,36506
212041312,Dandenong North,2009,16719,4620,2394,10280,362,35175,36497
212041313,Dingley Village,2009,17701,5600,2790,5592,226,40391,41596
212041314,Keysborough,2009,17127,3843,2434,10401,413,39692,41308
212041315,Noble Park,2009,17036,2213,2624,14018,490,34981,36918
212041316,Noble Park North,2009,17106,2323,2612,3637,127,34928,36838
212041317,Springvale,2009,16212,2256,2227,9770,308,31524,34489
212041318,Springvale South,2009,17734,5602,2788,6698,271,40394,41595
212051319,Ashwood - Chadstone,2009,22658,6419,2648,9722,450,46238,47856
212051320,Clayton,2009,18108,4637,2522,8885,316,35591,36174
212051321,Glen Waverley - East,2009,22285,8985,2596,13004,601,46188,47695
212051322,Glen Waverley - West,2009,22296,8985,2595,11599,536,46188,47693
212051323,Mount Waverley - North,2009,22932,9573,2419,9274,433,46646,49188
212051324,Mount Waverley - South,2009,22909,9572,2420,10671,498,46643,49187
212051325,Mulgrave,2009,19566,5378,2401,10600,452,42657,44523
212051326,Oakleigh - Huntingdale,2009,19738,5270,2288,11353,501,44124,45684
212051327,Wheelers Hill,2009,22303,8985,2596,11988,554,46186,47697
213011328,Ardeer - Albion,2009,14802,2681,2106,4112,156,37922,40101
213011329,Cairnlea,2009,19772,1822,3397,3980,174,43601,45483
213011330,Deer Park - Derrimut,2009,20030,2508,3214,10177,454,44570,46226
213011331,Delahey,2009,19346,1896,2945,4202,179,42563,44582
213011332,Keilor Downs,2009,18494,4333,2017,7983,333,41752,43096
213011333,Kings Park (Vic.),2009,17944,2632,2879,6313,225,35659,37408
213011334,St Albans - North,2009,17951,2646,2880,8815,313,35538,37276
213011335,St Albans - South,2009,17888,2645,2877,7565,269,35548,37288
213011336,Sunshine,2009,13552,3577,2213,3946,144,36434,38216
213011337,Sunshine North,2009,13688,3577,2212,4747,173,36436,38218
213011338,Sunshine West,2009,13640,3576,2208,7476,272,36434,38223
213011339,Sydenham,2009,19314,1897,2945,5736,244,42563,44574
213011340,Taylors Lakes,2009,18719,4687,1917,11344,490,43231,44466
213021341,Altona,2009,23531,5423,1917,7080,320,45150,47786
213021342,Altona Meadows,2009,17959,2384,1592,10487,437,41687,43182
213021343,Altona North,2009,16620,5931,2167,6157,261,42454,44479
213021344,Newport,2009,22382,5049,2251,9059,492,54284,55053
213021345,Seabrook,2009,17822,2385,1596,2782,116,41681,43181
213021346,Williamstown,2009,21099,11477,4447,8847,552,62356,59517
213031347,Braybrook,2009,17293,2394,2558,7317,288,39399,41062
213031348,Footscray,2009,19946,3104,2031,7549,311,41170,41866
213031349,Maribyrnong,2009,21637,5619,2665,5530,285,51456,51452
213031350,Seddon - Kingsville,2009,18707,3058,2254,4592,194,42187,43200
213031351,West Footscray - Tottenham,2009,17056,2920,2468,5300,229,43189,44688
213031352,Yarraville,2009,20871,4419,3800,7760,415,53475,54622
213041353,Bacchus Marsh,2009,19522,5949,2265,8996,388,43134,44666
213041354,Caroline Springs,2009,19808,1822,3398,11736,512,43601,45476
213041355,Hillside,2009,19475,2178,2935,7740,329,42481,44431
213041356,Melton,2009,22051,3206,2573,8956,371,41379,42325
213041357,Melton South,2009,23101,2082,3220,6619,267,40389,41755
213041358,Melton West,2009,21960,3199,2578,7170,297,41377,42326
213041359,Rockbank - Mount Cottrell,2009,20167,7312,3054,1267,53,41474,41931
213041360,Taylors Hill,2009,19548,1904,3041,7519,322,42784,44763
213051361,Hoppers Crossing - North,2009,19868,2514,2271,8772,382,43570,44941
213051362,Hoppers Crossing - South,2009,19881,2515,2273,8608,375,43573,44942
213051363,Laverton,2009,17637,2751,1686,2822,120,42458,43856
213051364,Point Cook,2009,20425,4032,2891,15599,733,47013,48151
213051365,Tarneit,2009,19919,2506,2286,10145,442,43578,44946
213051366,Truganina,2009,19416,2443,2334,4665,207,44339,45622
213051367,Werribee,2009,20591,4220,2880,14389,677,47076,48211
213051368,Werribee - South,2009,20468,4030,2890,5043,237,47005,48143
213051369,Wyndham Vale,2009,19199,1521,3812,6982,309,44277,45413
214011370,Carrum Downs,2009,20142,1893,2860,9858,391,39672,40952
214011371,Frankston,2009,19186,5927,2628,12082,489,40460,42104
214011372,Frankston North,2009,18372,5400,2789,9809,381,38830,40087
214011373,Frankston South,2009,19151,5927,2628,9862,399,40460,42107
214011374,Langwarrin,2009,19959,4275,4698,12989,562,43266,44119
214011375,Seaford (Vic.),2009,20707,3212,2480,8938,354,39656,41911
214011376,Skye - Sandhurst,2009,18059,4199,2767,4862,199,40895,41478
214021377,Dromana,2009,21703,10077,3877,4779,178,37260,39566
214021378,Flinders,2009,25486,25059,6714,3399,182,53524,43371
214021379,Hastings - Somers,2009,23600,8846,2632,10576,437,41317,41421
214021380,Mornington,2009,21148,12982,3690,12614,563,44590,43402
214021381,Mount Eliza,2009,28756,19513,8062,10803,631,58383,52037
214021382,Mount Martha,2009,23303,12904,4221,9422,444,47111,46165
214021383,Point Nepean,2009,22106,19673,4984,8700,364,41806,36885
214021384,Rosebud - McCrae,2009,20464,9071,2980,9386,321,34228,36015
214021385,Somerville,2009,21239,7347,3309,10340,434,41989,42071
215011386,Ararat,2009,17273,6411,1329,4397,151,34352,36463
215011387,Ararat Region,2009,16657,14258,1651,1629,61,37434,33704
215011388,Horsham,2009,20641,8001,1189,8583,323,37647,36919
215011389,Horsham Region,2009,22867,6681,1149,1879,64,33847,33548
215011390,Nhill Region,2009,13896,8311,991,4053,119,29254,32565
215011391,St Arnaud,2009,15949,6467,1866,1844,56,30125,31448
215011392,Stawell,2009,18340,5216,1771,4567,162,35441,37856
215011393,West Wimmera,2009,15412,6533,1296,1696,52,30570,32311
215011394,Yarriambiack,2009,15789,8546,1651,3961,122,30792,30870
215021395,Irymple,2009,19331,7024,1333,4059,148,36370,36740
215021396,Merbein,2009,18863,4436,2274,2341,73,31333,35473
215021397,Mildura,2009,18361,5955,1471,13261,487,36692,37052
215021398,Mildura Region,2009,17616,7354,893,2412,73,30377,32872
215021399,Red Cliffs,2009,17272,4742,1039,3069,90,29280,33034
215031400,Buloke,2009,13275,6461,1214,3682,96,26040,31545
215031401,Gannawarra,2009,18315,6709,1202,3726,108,29091,33378
215031402,Kerang,2009,20267,6187,1137,2244,61,27327,31614
215031403,Robinvale,2009,13573,7499,1302,2029,76,37187,30442
215031404,Swan Hill,2009,15296,9051,1081,6435,231,35938,35246
215031405,Swan Hill Region,2009,13567,7637,1658,3418,112,32788,32044
216011406,Echuca,2009,17694,8608,1488,8275,301,36365,36905
216011407,Kyabram,2009,17083,6299,1548,5759,189,32859,35817
216011408,Lockington - Gunbower,2009,18823,7025,2040,2066,65,31418,35200
216011409,Rochester,2009,15770,5850,1105,2099,69,32866,38026
216011410,Rushworth,2009,15319,4975,1506,2128,64,30174,34954
216021411,Cobram,2009,15229,6972,1181,3284,112,34000,35203
216021412,Moira,2009,21306,5621,1718,1418,41,29019,33661
216021413,Numurkah,2009,18465,5859,1258,6600,200,30226,35061
216021414,Yarrawonga,2009,26843,6768,1522,3631,125,34498,36527
216031415,Mooroopna,2009,17983,6201,1734,4306,146,33904,35421
216031416,Shepparton - North,2009,15688,8329,1430,9203,347,37722,36760
216031417,Shepparton - South,2009,16212,8497,1534,11378,437,38392,37431
216031418,Shepparton Region - East,2009,16079,6169,1335,2400,82,34118,37751
216031419,Shepparton Region - West,2009,18995,6752,2149,5599,193,34446,36503
217011420,Glenelg (Vic.),2009,15186,7632,1791,4876,182,37224,37063
217011421,Hamilton (Vic.),2009,20243,10233,1376,6078,237,39010,36085
217011422,Portland,2009,19865,5340,1701,6035,255,42195,43725
217011423,Southern Grampians,2009,19424,8775,1450,3800,129,33939,32479
217021424,Camperdown,2009,16567,9177,2605,1905,69,36239,36081
217021425,Colac,2009,14659,8659,1431,6420,240,37331,36627
217021426,Colac Region,2009,18966,7726,1943,3640,125,34243,35029
217021427,Corangamite - North,2009,17807,8750,1668,3239,116,35940,33103
217021428,Corangamite - South,2009,13277,7787,1433,4443,159,35860,33944
217021429,Moyne - East,2009,15524,9481,1593,3701,130,35239,32609
217021430,Moyne - West,2009,20248,8220,1944,5311,199,37366,36287
217021431,Otway,2009,15762,7471,5304,2154,67,31219,32734
217021432,Warrnambool - North,2009,18747,9170,1486,11295,443,39220,37514
217021433,Warrnambool - South,2009,17953,9136,1497,7456,296,39714,37486
301011001,Alexandra Hills,2009,20776,2445,2010,10232,434,42451,43704
301011002,Belmont - Gumdale,2009,25617,13758,4466,4341,257,59169,53555
301011003,Birkdale,2009,23217,7058,3328,8710,400,45942,46493
301011004,Capalaba,2009,24442,4905,2628,10654,470,44075,44137
301011005,Thorneside,2009,26304,5968,2217,2154,96,44454,43984
301011006,Wellington Point,2009,26714,7571,4829,6679,338,50525,50930
301021007,Cleveland,2009,21999,16538,5216,9097,470,51657,48566
301021008,Ormiston,2009,26791,7615,4836,3432,173,50534,50936
301021009,Redland Bay,2009,20793,6122,2797,7448,333,44769,46356
301021010,Redland Islands,2009,22968,6441,4549,3506,114,32421,34188
301021011,Sheldon - Mount Cotton,2009,21759,5781,2751,3690,165,44575,45703
301021012,Thornlands,2009,19242,6135,3224,7112,339,47655,48619
301021013,Victoria Point,2009,20789,6123,2796,8098,363,44768,46353
301031014,Brisbane Port - Lytton,2009,0,2525,0,5,0,40966,0
301031015,Manly - Lota,2009,24690,7277,2819,4092,203,49626,50321
301031016,Manly West,2009,24696,7277,2821,6194,307,49633,50316
301031017,Murarrie,2009,19182,3789,3257,2394,120,49948,51599
301031018,Tingalpa,2009,18145,3043,1936,5171,237,45906,47007
301031019,Wakerley,2009,23235,7255,2925,3979,231,57933,57466
301031020,Wynnum,2009,20013,4941,2153,7030,321,45723,47247
301031021,Wynnum West - Hemmant,2009,19981,4462,2081,8240,373,45295,46649
302011022,Bald Hills,2009,18023,3034,1357,4172,180,43183,44740
302011023,Bridgeman Downs,2009,23937,8997,3199,4922,259,52695,51672
302011024,Carseldine,2009,23292,5715,2571,4678,206,43961,45852
302011025,Everton Park,2009,21811,5373,1727,5101,241,47289,48463
302011026,McDowall,2009,21818,5463,1765,4350,206,47414,48531
302021027,Aspley,2009,23226,5621,2552,7477,327,43731,45687
302021028,Chermside,2009,19750,6472,2608,4545,204,44901,46293
302021029,Chermside West,2009,19807,6455,2618,3406,153,44819,46225
302021030,Geebung,2009,23311,5617,2545,2583,113,43744,45694
302021031,Kedron - Gordon Park,2009,21020,6175,1944,7671,399,51977,51747
302021032,Stafford,2009,21777,5369,1725,3703,175,47274,48444
302021033,Stafford Heights,2009,21621,5414,1759,4138,195,47173,48365
302021034,Wavell Heights,2009,20282,6614,1652,5727,287,50035,50112
302031035,Boondall,2009,23227,5615,2550,5256,230,43727,45690
302031036,Brisbane Airport,2009,0,10016,2677,80,4,45330,45026
302031037,Eagle Farm - Pinkenba,2009,16526,7672,3687,158,7,44595,44014
302031038,Northgate - Virginia,2009,18435,5838,4607,3842,187,48654,48352
302031039,Nudgee - Banyo,2009,20558,4605,7420,5090,233,45805,46433
302031040,Nundah,2009,20276,6630,1620,6311,316,50097,50150
302041041,Bracken Ridge,2009,21188,3667,2111,9690,427,44089,45836
302041042,Brighton (Qld),2009,21163,3672,2113,5199,229,44095,45845
302041043,Deagon,2009,21275,3689,2124,1997,88,44096,45843
302041044,Sandgate - Shorncliffe,2009,21127,3672,2113,3772,166,44096,45836
302041045,Taigum - Fitzgibbon,2009,23398,2692,1865,4975,215,43146,45402
302041046,Zillmere,2009,23246,5615,2553,4873,213,43723,45682
303011047,Camp Hill,2009,22670,8215,2979,6567,348,53024,52013
303011048,Cannon Hill,2009,22261,6218,2298,2849,157,55148,54709
303011049,Carina,2009,22688,8214,2986,6421,340,52993,52010
303011050,Carina Heights,2009,22509,8160,2970,3806,201,52817,51875
303011051,Carindale,2009,22670,8235,2996,9689,514,53028,52025
303021052,Annerley,2009,21178,6013,2184,6718,318,47297,45901
303021053,Coorparoo,2009,23573,9168,2137,9809,545,55518,51945
303021054,Fairfield - Dutton Park,2009,20160,5596,2336,2505,114,45670,44357
303021055,Greenslopes,2009,17860,6679,2278,5465,272,49752,47616
303021056,Holland Park,2009,21465,8357,1929,4702,250,53214,51959
303021057,Holland Park West,2009,21519,8342,1918,3556,189,53159,52037
303021058,Woolloongabba,2009,18281,4870,2613,2907,125,42924,41814
303021059,Yeronga,2009,24065,15748,3315,5148,302,58692,50922
303031060,Eight Mile Plains,2009,20001,5029,2076,8327,338,40584,42046
303031061,Macgregor (Qld),2009,21476,7926,2331,3550,137,38707,39189
303031062,Mansfield (Qld),2009,19048,5239,1996,5148,225,43742,45252
303031063,Mount Gravatt,2009,19125,5287,1995,8562,376,43878,45355
303031064,Rochedale - Burbank,2009,25001,12409,2159,2528,145,57183,54194
303031065,Upper Mount Gravatt,2009,19070,5242,1998,5366,235,43723,45238
303031066,Wishart,2009,19053,5236,1996,6341,277,43736,45247
303041067,Coopers Plains,2009,14636,4900,1048,2721,103,37784,39273
303041068,Moorooka,2009,21199,7175,2426,5774,284,49239,48613
303041069,Robertson,2009,21293,7863,2294,3093,119,38590,39084
303041070,Salisbury - Nathan,2009,19355,3508,1472,4068,162,39851,41738
303041071,Tarragindi,2009,21446,8316,1924,5941,315,53075,51952
303051072,Algester,2009,21193,3823,2079,5018,225,44826,46144
303051073,Calamvale - Stretton,2009,18686,4598,2320,10405,449,43140,44608
303051074,Pallara - Willawong,2009,20373,3776,2359,1902,79,41547,42797
303051075,Parkinson - Drewvale,2009,20460,4064,2154,8564,380,44349,45728
303051076,Rocklea - Acacia Ridge,2009,19066,5682,2564,4539,183,40274,40408
303061077,Kuraby,2009,21353,4298,2944,4396,197,44838,47310
303061078,Runcorn,2009,19951,5076,2084,7913,321,40564,42010
303061079,Sunnybank,2009,21367,7926,2324,5151,199,38632,39102
303061080,Sunnybank Hills,2009,21493,7957,2335,10719,414,38644,39105
304011081,Jindalee - Mount Ommaney,2009,23427,6762,3565,4950,252,50904,51322
304011082,Middle Park - Jamboree Heights,2009,23427,6761,3562,4824,246,50911,51328
304011083,Riverhills,2009,23417,6762,3560,2599,132,50909,51316
304011084,Seventeen Mile Rocks - Sinnamon Park,2009,26670,6415,2379,5660,319,56376,57097
304011085,Westlake,2009,23488,6762,3561,2984,152,50904,51318
304021086,Bellbowrie - Moggill,2009,25753,7212,10424,5091,279,54728,54166
304021087,Brookfield - Kenmore Hills,2009,27518,18463,9136,4452,315,70841,63431
304021088,Chapel Hill,2009,27511,18437,9093,6531,462,70749,63292
304021089,Fig Tree Pocket,2009,27584,18469,9132,2346,166,70844,63432
304021090,Kenmore,2009,27545,18466,9135,5449,386,70847,63418
304021091,Pinjarra Hills - Pullenvale,2009,27162,15862,9369,3325,222,66650,60881
304031092,Chelmer - Graceville,2009,24061,11682,3784,4145,243,58681,53878
304031093,Corinda,2009,21747,8324,2909,2877,160,55631,54029
304031094,Indooroopilly,2009,28041,16175,4885,7714,486,62954,53602
304031095,Sherwood,2009,21697,8322,2903,3211,179,55667,54069
304031096,St Lucia,2009,26585,16538,4860,5710,328,57360,46142
304031097,Taringa,2009,28018,16080,4865,5246,330,62854,53566
304041098,Enoggera,2009,22505,8443,2455,4783,282,58934,55726
304041099,Enoggera Reservoir,2009,0,9381,0,16,1,56554,59126
304041100,Keperra,2009,20646,3888,1800,4249,191,44909,46887
304041101,Mitchelton,2009,21760,5360,1740,4692,222,47368,48505
304041102,Mount Coot-tha,2009,0,0,0,0,0,0,0
304041103,The Gap,2009,23908,9111,3052,10239,581,56741,55133
304041104,Upper Kedron - Ferny Grove,2009,25279,4559,1858,5551,271,48767,49679
305011105,Brisbane City,2009,24861,10238,5373,6320,353,55810,49947
305011106,Fortitude Valley,2009,23952,12141,6485,3242,200,61664,56385
305011107,Highgate Hill,2009,20500,10487,4067,3464,175,50611,46215
305011108,Kangaroo Point,2009,25247,15443,5537,4653,268,57491,50989
305011109,New Farm,2009,30550,15672,7474,9074,615,67821,59582
305011110,South Brisbane,2009,20333,10609,4089,3221,164,50799,46326
305011111,Spring Hill,2009,24683,10297,5403,4070,228,55959,50116
305011112,West End,2009,20413,10711,4124,4791,244,50946,46422
305021113,Balmoral,2009,23534,12954,4332,2362,166,70324,65622
305021114,Bulimba,2009,23606,13238,4406,3662,260,71030,66159
305021115,East Brisbane,2009,25315,15419,5535,3720,214,57454,50963
305021116,Hawthorne,2009,23654,13128,4375,2944,208,70762,65967
305021117,Morningside - Seven Hills,2009,22290,6423,2359,7223,401,55571,54993
305021118,Norman Park,2009,22217,6348,2323,3793,209,55113,54615
305031119,Albion,2009,25266,13874,4027,1889,108,56886,52264
305031120,Alderley,2009,22585,8439,2461,3534,208,58918,55708
305031121,Ascot,2009,26053,32777,9942,3282,288,87791,64441
305031122,Clayfield,2009,24778,18328,5617,6415,442,68961,58870
305031123,Grange,2009,22472,8416,2450,2591,153,58869,55691
305031124,Hamilton (Qld),2009,26180,32684,9930,3029,265,87357,64195
305031125,Hendra,2009,24678,18018,5498,2874,196,68227,58535
305031126,Kelvin Grove - Herston,2009,21943,7139,4300,4720,269,56923,53951
305031127,Newmarket,2009,22471,8438,2447,2766,163,58918,55704
305031128,Newstead - Bowen Hills,2009,24073,12257,6538,4488,278,62037,56800
305031129,Wilston,2009,22478,8438,2445,2409,142,58909,55702
305031130,Windsor,2009,21274,7272,3017,4041,228,56414,54769
305031131,Wooloowin - Lutwyche,2009,21385,7848,3182,5518,315,57139,55027
305041132,Ashgrove,2009,23152,9552,4989,7883,505,64113,60338
305041133,Auchenflower,2009,25747,10723,3614,3647,210,57540,51720
305041134,Bardon,2009,23293,14067,3619,5651,403,71346,63964
305041135,Paddington - Milton,2009,24058,11249,4646,7058,452,64047,58241
305041136,Red Hill (Qld),2009,21467,5889,3726,3383,189,55779,53311
305041137,Toowong,2009,25723,10799,3635,7159,412,57575,51713
306011138,Brinsmead,2009,20329,7157,3311,3390,147,43268,42244
306011139,Clifton Beach - Kewarra Beach,2009,21493,5465,4680,5365,232,43144,43746
306011140,Freshwater - Stratford,2009,20117,7156,3321,2344,101,43262,42253
306011141,Redlynch,2009,20148,6838,3436,7349,316,42957,42271
306011142,Trinity Beach - Smithfield,2009,20952,5354,4483,6080,258,42491,43250
306011143,Yorkeys Knob - Machans Beach,2009,19864,5142,4085,3560,147,41306,42378
306021144,Bentley Park,2009,18176,3973,1426,3767,158,41917,42188
306021145,Cairns City,2009,20238,7156,3317,6379,276,43273,42250
306021146,Earlville - Bayview Heights,2009,20083,5978,2801,4582,195,42654,41875
306021147,Edmonton,2009,18119,3973,1423,5042,211,41924,42182
306021148,Gordonvale - Trinity,2009,22101,6213,2378,4243,178,41943,42118
306021149,Kanimbla - Mooroobool,2009,20171,7156,3315,5944,257,43267,42253
306021150,Lamb Range,2009,0,0,0,0,0,0,0
306021151,Manoora,2009,20163,7156,3315,3685,159,43264,42251
306021152,Manunda,2009,20115,7155,3318,3216,139,43274,42251
306021153,Mount Sheridan,2009,19947,4536,2129,4023,169,41923,41454
306021154,Westcourt - Bungalow,2009,20292,7156,3317,4079,177,43270,42255
306021155,White Rock,2009,20035,4539,2136,2258,95,41932,41445
306021156,Whitfield - Edge Hill,2009,20196,7156,3316,5213,226,43270,42254
306021157,Woree,2009,20127,4552,2143,2432,102,41938,41444
306031158,Babinda,2009,16403,6464,2313,2089,73,34726,35888
306031159,Innisfail,2009,19604,8272,1854,5291,195,36791,35101
306031160,Johnstone,2009,18767,6687,2111,4109,142,34600,35132
306031161,Tully,2009,19990,8098,2067,6707,242,36046,34244
306031162,Wooroonooran,2009,141,0,0,0,0,0,0
306031163,Yarrabah,2009,14621,7415,3799,1025,32,31064,32026
306041164,Daintree,2009,18438,6626,2763,3590,127,35498,35526
306041165,Port Douglas,2009,20104,7074,6671,3092,105,33937,32711
306051166,Atherton,2009,21845,6694,1961,5737,204,35464,36491
306051167,Herberton,2009,22607,5061,2818,2541,80,31572,35139
306051168,Kuranda,2009,21117,4979,5657,2130,74,34740,36829
306051169,Malanda - Yungaburra,2009,21474,7723,2382,4942,167,33697,36755
306051170,Mareeba,2009,16652,6073,1859,5188,189,36377,36276
307011171,Balonne,2009,11349,7624,1254,2610,98,37404,35407
307011172,Chinchilla,2009,22277,5473,2112,3491,140,40174,42118
307011173,Goondiwindi,2009,17643,12524,1605,3903,155,39828,38321
307011174,Inglewood - Waggamba,2009,18684,6205,1642,2235,71,31816,35897
307011175,Miles - Wandoan,2009,13122,5136,1577,2239,67,29798,35930
307011176,Roma,2009,19666,6682,1719,4038,168,41667,43856
307011177,Roma Region,2009,15200,5694,1339,3484,116,33390,38991
307011178,Tara,2009,22471,4877,1909,1818,63,34560,34743
307021179,Crows Nest - Rosalie,2009,23019,4560,1751,4143,141,33997,38877
307021180,Jondaryan,2009,19707,4863,1590,4035,143,35477,39005
307021181,Millmerran,2009,18306,6817,1966,1845,68,37076,39763
307021182,Pittsworth,2009,14785,6399,2110,3045,112,36702,39062
307021183,Wambo,2009,17228,6722,1285,9080,372,40983,40841
307031184,Clifton - Greenmount,2009,28496,7136,3081,2506,79,31394,36065
307031185,Southern Downs - East,2009,22160,5642,1605,2227,70,31390,35829
307031186,Southern Downs - West,2009,21101,5358,2865,2220,70,31466,35571
307031187,Stanthorpe,2009,17464,5970,1925,3174,96,30319,31392
307031188,Stanthorpe Region,2009,17561,6657,1745,2938,90,30664,31409
307031189,Warwick,2009,22070,5004,1397,7719,258,33375,36510
308011190,Central Highlands - East,2009,14391,2450,1186,3989,254,63777,66629
308011191,Central Highlands - West,2009,20924,5205,2154,4866,252,51684,55878
308011192,Emerald,2009,18697,7613,1643,7829,463,59109,59071
308021193,Agnes Water - Miriam Vale,2009,19274,5567,3521,2738,95,34847,40992
308021194,Banana,2009,16777,5381,2017,5062,232,45829,51645
308021195,Biloela,2009,18344,3761,1069,3616,181,50098,54621
308021196,Boyne Island - Tannum Sands,2009,21698,4167,1507,5274,284,53893,55561
308021197,Callemondah,2009,0,4281,0,29,2,53957,54888
308021198,Clinton - New Auckland,2009,21789,4167,1508,6028,325,53898,55559
308021199,Gladstone,2009,21849,4166,1508,3446,186,53898,55555
308021200,Gladstone Hinterland,2009,21360,4161,1442,5546,293,52793,55467
308021201,Kin Kora - Sun Valley,2009,21926,4168,1506,2268,122,53889,55556
308021202,South Trees,2009,0,0,0,0,0,0,0
308021203,Telina - Toolooa,2009,21709,4166,1506,3031,163,53897,55548
308021204,West Gladstone,2009,21545,4167,1504,2841,153,53897,55566
308031205,Berserker,2009,19607,4345,1490,3929,175,44413,44778
308031206,Bouldercombe,2009,18146,5434,1736,973,42,42613,47612
308031207,Emu Park,2009,22649,7211,1677,2168,94,43134,45172
308031208,Frenchville - Mount Archer,2009,19559,4344,1492,5014,223,44406,44777
308031209,Glenlee - Rockyview,2009,21904,5139,1438,2308,108,46754,47801
308031210,Gracemere,2009,20595,5432,2078,4577,201,43833,48249
308031211,Lakes Creek,2009,19630,4350,1491,2745,122,44405,44775
308031212,Mount Morgan,2009,24293,1677,2427,1104,41,36736,40134
308031213,Norman Gardens,2009,19565,4346,1492,4788,213,44404,44778
308031214,Park Avenue,2009,19512,4344,1493,2910,129,44409,44782
308031215,Parkhurst - Kawana,2009,19807,4658,1663,3472,154,44253,45650
308031216,Rockhampton - West,2009,19375,7286,2039,3368,155,45948,45063
308031217,Rockhampton City,2009,19231,7289,2042,1988,91,45941,45066
308031218,Rockhampton Region - East,2009,20324,5392,2087,1634,72,44113,47308
308031219,Rockhampton Region - North,2009,20526,6514,2901,2136,94,43831,45986
308031220,Rockhampton Region - West,2009,20406,5434,2083,1387,61,43840,48257
308031221,Shoalwater Bay,2009,0,0,422,6,0,43869,42457
308031222,The Range - Allenstown,2009,19277,7288,2041,4528,208,45950,45065
308031223,Yeppoon,2009,20362,6830,3034,8651,392,45267,46439
309011224,Broadbeach Waters,2009,23417,15051,7135,4966,219,44069,41016
309011225,Burleigh Heads,2009,21581,7396,3402,4795,190,39641,40917
309011226,Burleigh Waters,2009,20194,7604,3371,8479,340,40114,41257
309011227,Mermaid Beach - Broadbeach,2009,23340,15053,7132,6798,300,44066,41019
309011228,Mermaid Waters,2009,23381,15052,7133,7768,342,44069,41015
309011229,Miami,2009,20187,7597,3365,3891,156,40115,41255
309021230,Coolangatta,2009,19229,10989,4651,3138,120,38195,38201
309021231,Currumbin - Tugun,2009,23296,9473,6095,6317,263,41572,40725
309021232,Currumbin Waters,2009,21404,8514,3512,5127,213,41569,41633
309021233,Elanora,2009,20703,7448,2894,6979,274,39224,39802
309021234,Palm Beach,2009,20704,7444,2892,8343,327,39215,39795
309031235,Arundel,2009,20916,6127,3016,5722,228,39918,40349
309031236,Biggera Waters,2009,24762,15072,5317,3643,161,44177,41864
309031237,Coombabah,2009,24749,15073,5320,5617,248,44188,41874
309031238,Labrador,2009,20676,7722,3819,9188,341,37117,37215
309031239,Paradise Point - Hollywell,2009,24710,15075,5319,4950,219,44186,41880
309031240,Runaway Bay,2009,24782,15073,5320,5123,226,44186,41872
309041241,Guanaba - Springbrook,2009,21632,6421,3927,2282,93,40595,41043
309041242,Tamborine - Canungra,2009,23385,7703,3819,7420,289,38984,41551
309051243,Currumbin Valley - Tallebudgera,2009,22670,10873,3282,4453,193,43224,42176
309051244,Mudgeeraba - Bonogin,2009,21709,8393,4517,10047,415,41311,40824
309051245,Reedy Creek - Andrews,2009,19648,4300,3743,3537,137,38617,39960
309061246,Carrara,2009,22357,5592,3696,6472,256,39538,40322
309061247,Highland Park,2009,22170,6299,3913,4776,191,39948,40428
309061248,Nerang - Mount Nathan,2009,22432,5591,3697,10534,417,39538,40320
309061249,Pacific Pines - Gaven,2009,22367,5591,3694,9162,362,39535,40318
309061250,Worongary - Tallai,2009,21676,8391,4508,4292,177,41310,40831
309071251,Coomera,2009,20536,4036,2982,3859,165,42709,43503
309071252,Helensvale,2009,22268,15155,8682,8890,444,49981,46278
309071253,Hope Island,2009,22356,15151,8637,4775,238,49910,46233
309071254,Jacobs Well - Alberton,2009,20881,4954,3755,1718,73,42486,43566
309071255,Ormeau - Yatala,2009,21543,4999,3914,8206,360,43917,45228
309071256,Oxenford - Maudsland,2009,19986,5972,3707,8535,363,42525,43149
309071257,Pimpama,2009,20558,4037,2965,1410,60,42719,43489
309071258,Upper Coomera - Willow Vale,2009,20439,4199,3057,10728,458,42669,43465
309081259,Clear Island Waters,2009,22413,8966,6432,2498,102,40981,40934
309081260,Merrimac,2009,22546,8875,6401,3955,162,40928,40936
309081261,Robina,2009,23224,8839,6752,12027,492,40908,41035
309081262,Varsity Lakes,2009,19575,3402,3870,6393,245,38267,39685
309091263,Ashmore,2009,20921,6123,3019,6926,277,39927,40353
309091264,Molendinar,2009,21044,6126,3019,3713,148,39913,40342
309091265,Parkwood,2009,21022,6122,3014,5043,201,39922,40352
309091266,Southport,2009,20652,7720,3820,15867,589,37117,37213
309101267,Benowa,2009,23432,23086,8429,5146,247,48081,40257
309101268,Bundall,2009,23573,23084,8440,2703,130,48075,40255
